Justin Jefferson,1.5
Ja'Marr Chase,3.1
Christian McCaffrey,4.3
Austin Ekeler,4.9
Travis Kelce,5.6
Tyreek Hill,7.2
Cooper Kupp,8.4
Bijan Robinson,10.5
Saquon Barkley,11.3
Derrick Henry,11.5
Stefon Diggs,12.6
Davante Adams,12.7
Patrick Mahomes,14.1
Nick Chubb,14.5
Tony Pollard,15.5
CeeDee Lamb,16.9
Garrett Wilson,18.5
Josh Jacobs,19.8
A.J. Brown,19.9
Josh Allen,20.8
Amon-Ra St. Brown,21.8
Jalen Hurts,22.8
Jaylen Waddle,27.1
DK Metcalf,27.2
Joe Mixon,27.5
Jonathan Taylor,28.6
Tee Higgins,29.4
Chris Olave,30.7
Travis Etienne Jr.,32.4
DeVonta Smith,32.5
Lamar Jackson,32.6
Najee Harris,33.7
Mark Andrews,34.3
Joe Burrow,35
Aaron Jones,35.7
Deebo Samuel,36
Jahmyr Gibbs,36.6
Calvin Ridley,40.8
Rhamondre Stevenson,43
Keenan Allen,43
Amari Cooper,46.2
Justin Herbert,46.4
T.J. Hockenson,47.3
Justin Fields,50.2
Darren Waller,50.9
DeAndres Hopkins,51.9
Dameon Pierce,52.4
George Kittle,52.7
Christian Watson,54.1
Alvin Kamara,57.8
Kenneth Walker III,58.3
Breece Hall,58.9
Rachaad White,62.3
James Conner,63
Chris Godwin,63.2
DJ Moore,64.5
Kyle Pitts,64.8
Jerry Jeudy,65.2
Miles Sanders,67.2
Trevor Lawrence,67.6
Diontae Johnson,68.1
Mike Evans,68.9
Alexander Mattison,69.3
Dallas Goedert,70
Terry McLaurin,74.2
Mike Williams,75.2
James Cook,75.2
Deshaun Watson,77.2
Cam Akers,78.9
Tyler Lockett,79.8
Javonte Williams,81
Brandon Aiyuk,82.8
Justin Tucker,84.9
Evan Engram,85.4
David Montgomery,86.2
George Pickens,86.8
Drake London,87.1
Marquise Brown,87.4
Dalvin Cook,87.6
Pat Freiermuth,88.7
J.K. Dobbins,89.9
Christian Kirk,91.5
D'Andre Swift,97.1
Kirk Cousins,97.6
Michael Pittman Jr.,97.9
Brandin Cooks,99.7
Dak Prescott,99.9
David Njoku,101.4
Aaron Rodgers,103.6
Khalil Herbert,104.1
Courtland Sutton,105
AJ Dillon,105.9
Jahan Dotson,107.2
Jaxon Smith-Njigba,107.2
Odell Beckham Jr.,110
Evan McPherson,110.2