Rank,Team,2023,,,,,
1,Rams,78,,,,,
1,Patriots,78,,,,,
3,Chargers,76,,,,,
4,Browns,72,,,,,
4,Texans,72,,,,,
4,Panthers,72,,,,,
7,Lions,70,,,,,
7,Bears,70,,,,,
9,Colts,69,,,,,
9,Jaguars,69,,,,,
11,Buccaneers,68,,,,,
11,Bills,68,,,,,
13,49ers,66,,,,,
14,Giants,65,,,,,
14,Commanders,65,,,,,
14,Dolphins,65,,,,,
17,Saints,64,,,,,
18,Vikings,63,,,,,
19,Chiefs,62,,,,,
20,Eagles,61,,,,,
20,Steelers,61,,,,,
22,Packers,60,,,,,
23,Titans,59,,,,,
24,Ravens,58,,,,,
24,Cardinals,58,,,,,
24,Broncos,58,,,,,
27,Cowboys,55,,,,,
27,Raiders,55,,,,,
29,Bengals,54,,,,,
30,Jets,53,,,,,
31,Falcons,48,,,,,
32,Seahawks,46,,,,,